book,word,tfidf
TolstoiVorobei,воробей,0.910196
TolstoiEchizayac,ёж,0.723855
TolstoiVorobei,лён,0.717333
TolstoiTelenoknaldu,телёнок,0.649992
TolstoiLetuchayamysh,летучая,0.645765
PushkinKamennyigost,гуан,0.625634
TolstoiVolgaiVazuza,волга,0.616940
TolstoiFilipok,филипок,0.603935
TolstoiShatiDon,шат,0.591983
TolstoiShakalyislon,слон,0.570469
TolstoiVolgaiVazuza,вазуза,0.570408
TolstoiPesnyaprosrachenienarekeChernoi,bis,0.523350
TolstoiZaicyilyagushki,зайцы,0.517134
TolstoiLetuchayamysh,мышь,0.507136
PushkinKamennyigost,дон,0.471297
TolstoiMyshi,кота,0.467739
TolstoiShatiDon,дон,0.454054
TolstoiSobakaieeten,собака,0.441651
